fen,move,score
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2,g8f6,1
rnbqkb1r/ppp1pppp/5n2/3p4/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,e7e6,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P2P3/PB1P1PPP/RN1QKBNR b KQkq - 0 4,f8e7,1
rnbqk2r/ppp1bppp/4pn2/3P4/8/1P2P3/PB1P1PPP/RN1QKBNR b KQkq - 0 5,e6d5,1
rnbqk2r/ppp1bppp/5n2/1B1p4/8/1P2P3/PB1P1PPP/RN1QK1NR b KQkq - 1 6,c7c6,1
rnbqk2r/pp2bppp/2p2n2/1B1p4/6Q1/1P2P3/PB1P1PPP/RN2K1NR b KQkq - 1 7,e8g8,-1
rnbq1rk1/pp2bppp/2p2n2/1B1p4/1Q6/1P2P3/PB1P1PPP/RN2K1NR b KQ - 3 8,c6b5,-1
rnbq1rk1/pp2bppp/5n2/1Q1p4/8/1P2P3/PB1P1PPP/RN2K1NR b KQ - 0 9,b8d7,1
r1bq1rk1/pp1nbppp/5B2/1Q1p4/8/1P2P3/P2P1PPP/RN2K1NR b KQ - 0 10,e7f6,1
r1bq1rk1/pp1n1ppp/5b2/1Q1p4/8/1PN1P3/P2P1PPP/R3K1NR b KQ - 1 11,d7e5,1
r1bq1rk1/pp3ppp/5b2/1Q1pn3/8/1PN1PN2/P2P1PPP/R3K2R b KQ - 3 12,e5f3,1
r1bq1rk1/pp3ppp/5b2/1Q1p4/8/1PN1PP2/P2P1P1P/R3K2R b KQ - 0 13,d5d4,1
r1bq1rk1/pp3ppp/5b2/1Q6/3P4/1PN2P2/P2P1P1P/R3K2R b KQ - 0 14,c8d7,-1
r2q1rk1/pQ1b1ppp/5b2/8/3P4/1PN2P2/P2P1P1P/R3K2R b KQ - 0 15,a8b8,1
1r1q1rk1/Q2b1ppp/5b2/8/3P4/1PN2P2/P2P1P1P/R3K2R b KQ - 0 16,f6g5,1
1r1q1rk1/Q2b1ppp/8/6b1/3P4/1PN2P2/P2P1P1P/R4RK1 b - - 2 17,g5e3,-1
1r1q1rk1/Q2b1ppp/8/8/3P4/1PN1PP2/P2P3P/R4RK1 b - - 0 18,b8a8,1
r2q1rk1/3b1ppp/8/2Q5/3P4/1PN1PP2/P2P3P/R4RK1 b - - 2 19,a8b8,-1
1r1q1rk1/3b1ppp/8/6Q1/3P4/1PN1PP2/P2P3P/R4RK1 b - - 4 20,h7h6,-1
1r1q1rk1/3b1pp1/7p/6Q1/3P1P2/1PN1P3/P2P3P/R4RK1 b - - 0 21,h6g5,1
1r1q1rk1/3b1pp1/8/6p1/3PNP2/1P2P3/P2P3P/R4RK1 b - - 1 22,g5f4,1
1r1q1rk1/3b1pp1/8/8/3PNR2/1P2P3/P2P3P/R5K1 b - - 0 23,d8f6,-1
1r3rk1/3b1pp1/5N2/8/3P1R2/1P2P3/P2P3P/R5K1 b - - 0 24,g7f6,1
1r3rk1/3b1p2/5R2/8/3P4/1P2P3/P2P3P/R5K1 b - - 0 25,b8a8,-1
r4rk1/3b1p2/3R4/8/3P4/1P2P3/P2P3P/R5K1 b - - 2 26,a8e8,-1
4rrk1/3R1p2/8/8/3P4/1P2P3/P2P3P/R5K1 b - - 0 27,e8d8,1
3r1rk1/2R2p2/8/8/3P4/1P2P3/P2P3P/R5K1 b - - 2 28,g8g7,1
3r1r2/2R2pk1/8/8/3P4/1P2P3/P2P3P/5RK1 b - - 4 29,d8d7,-1
5r2/3R1pk1/8/8/3P4/1P2P3/P2P3P/5RK1 b - - 0 30,f8d8,-1
3R4/5pk1/8/8/3P4/1P2P3/P2P3P/5RK1 b - - 0 31,g7g6,1
5R2/5p2/6k1/8/3P4/1P2P3/P2P3P/5RK1 b - - 2 32,g6g5,1
6R1/5p2/8/6k1/3P4/1P2P3/P2P3P/5RK1 b - - 4 33,g5h4,1
6R1/5p2/8/8/3P1R1k/1P2P3/P2P3P/6K1 b - - 6 34,h4h3,1
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2,g8f6,1
rnbqkb1r/ppp1pppp/5n2/3p4/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,e7e6,1
rnbqkb1r/ppp2ppp/4pn2/1B1p4/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq - 1 4,c7c6,1
rnbqkb1r/pp3ppp/2p1pn2/3p4/B7/1P2P3/PBPP1PPP/RN1QK1NR b KQkq - 1 5,f8e7,1
rnbqk2r/pp2bppp/2p1pn2/3p4/B7/1P2PN2/PBPP1PPP/RN1QK2R b KQkq - 3 6,e8g8,1
rnbq1rk1/pp2bppp/2p1pn2/3p4/B7/1P2PN2/PBPP1PPP/RN1Q1RK1 b - - 5 7,b8d7,1
r1bq1rk1/pp1nbppp/2p1pB2/3p4/B7/1P2PN2/P1PP1PPP/RN1Q1RK1 b - - 0 8,e7f6,1
r1bq1rk1/pp1n1ppp/2p1pb2/3p4/B7/1PP1PN2/P2P1PPP/RN1Q1RK1 b - - 0 9,d7e5,1
r1bq1rk1/pp3ppp/2p1pb2/3pN3/B7/1PP1P3/P2P1PPP/RN1Q1RK1 b - - 0 10,f6e5,1
r1bq1rk1/pp3ppp/2p1p3/3pb3/B4P2/1PP1P3/P2P2PP/RN1Q1RK1 b - - 0 11,e5f4,-1
r1bq1rk1/pp3ppp/2p1p3/3p4/B4R2/1PP1P3/P2P2PP/RN1Q2K1 b - - 0 12,c8d7,1
r2q1rk1/pp1b1ppp/2p1p3/3p3Q/B4R2/1PP1P3/P2P2PP/RN4K1 b - - 2 13,d8e7,1
r4rk1/pp1bqppp/2p1p3/3p3Q/B6R/1PP1P3/P2P2PP/RN4K1 b - - 4 14,e7f6,-1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d5e4,1
rnbqkbnr/ppp1pppp/8/8/3Pp3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,e4f3,1
rnbqkbnr/ppp1pppp/8/8/3P4/5Q2/PPP2PPP/RNB1KB1R b KQkq - 0 4,g8f6,1
rnbqkb1r/ppp1pppp/5n2/8/2BP4/5Q2/PPP2PPP/RNB1K2R b KQkq - 2 5,e7e6,1
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4BQ2/PPP2PPP/RN2K2R b KQkq - 1 6,f8e7,1
rnbqk2r/ppp1bppp/4pn2/8/2BP4/4BQ2/PPP2PPP/RN3RK1 b kq - 3 7,e8g8,1
rnbq1rk1/ppp1bppp/4pn2/8/2BP4/2N1BQ2/PPP2PPP/R4RK1 b - - 5 8,b8d7,1
r1bq1rk1/pppnbppp/B3pn2/8/3P4/2N1BQ2/PPP2PPP/R4RK1 b - - 7 9,b7a6,-1
Q1bq1rk1/p1pnbppp/p3pn2/8/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 10,c8b7,-1
3q1rk1/pQpnbppp/p3pn2/8/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 11,f6e4,-1
3q1rk1/p1pnbppp/p3p3/8/3PQ3/2N1B3/PPP2PPP/R4RK1 b - - 0 12,d7e5,-1
3q1rk1/p1p1bppp/p3p3/4Q3/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 13,f7f6,-1
3q1rk1/p1p1b1pp/p3Qp2/8/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 14,g8h8,1
3q1r1k/p1p1b1pp/p3Qp2/3N4/3P4/4B3/PPP2PPP/R4RK1 b - - 2 15,c7c6,-1
3q1r1k/p3N1pp/p1p1Qp2/8/3P4/4B3/PPP2PPP/R4RK1 b - - 0 16,d8e7,-1
