fens,moves,score
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d3,-1
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,b1d2,-1
rnbqkbnr/ppp1pppp/8/3p4/8/3P4/PPPNPPPP/R1BQKBNR b KQkq - 1 2,g8f6,1
rnbqkb1r/ppp1pppp/5n2/3p4/8/3P4/PPPNPPPP/R1BQKBNR w KQkq - 2 3,g1f3,-1
rnbqkb1r/ppp1pppp/5n2/3p4/8/3P1N2/PPPNPPPP/R1BQKB1R b KQkq - 3 3,e7e6,1
rnbqkb1r/ppp2ppp/4pn2/3p4/8/3P1N2/PPPNPPPP/R1BQKB1R w KQkq - 0 4,e2e3,-1
rnbqkb1r/ppp2ppp/4pn2/3p4/8/3PPN2/PPPN1PPP/R1BQKB1R b KQkq - 0 4,f8e7,1
rnbqk2r/ppp1bppp/4pn2/3p4/8/3PPN2/PPPN1PPP/R1BQKB1R w KQkq - 1 5,f1e2,-1
rnbqk2r/ppp1bppp/4pn2/3p4/8/3PPN2/PPPNBPPP/R1BQK2R b KQkq - 2 5,e8g8,1
rnbq1rk1/ppp1bppp/4pn2/3p4/8/3PPN2/PPPNBPPP/R1BQK2R w KQ - 3 6,e1g1,-1
rnbq1rk1/ppp1bppp/4pn2/3p4/8/3PPN2/PPPNBPPP/R1BQ1RK1 b - - 4 6,b8c6,1
r1bq1rk1/ppp1bppp/2n1pn2/3p4/8/3PPN2/PPPNBPPP/R1BQ1RK1 w - - 5 7,h2h4,-1
r1bq1rk1/ppp1bppp/2n1pn2/3p4/7P/3PPN2/PPPNBPP1/R1BQ1RK1 b - - 0 7,c8d7,1
r2q1rk1/pppbbppp/2n1pn2/3p4/7P/3PPN2/PPPNBPP1/R1BQ1RK1 w - - 1 8,d2b3,-1
r2q1rk1/pppbbppp/2n1pn2/3p4/7P/1N1PPN2/PPP1BPP1/R1BQ1RK1 b - - 2 8,a7a6,1
r2q1rk1/1ppbbppp/p1n1pn2/3p4/7P/1N1PPN2/PPP1BPP1/R1BQ1RK1 w - - 0 9,c2c3,-1
r2q1rk1/1ppbbppp/p1n1pn2/3p4/7P/1NPPPN2/PP2BPP1/R1BQ1RK1 b - - 0 9,h7h6,1
r2q1rk1/1ppbbpp1/p1n1pn1p/3p4/7P/1NPPPN2/PP2BPP1/R1BQ1RK1 w - - 0 10,b3c5,-1
r2q1rk1/1ppbbpp1/p1n1pn1p/2Np4/7P/2PPPN2/PP2BPP1/R1BQ1RK1 b - - 1 10,a8c8,1
2rq1rk1/1ppbbpp1/p1n1pn1p/2Np4/7P/2PPPN2/PP2BPP1/R1BQ1RK1 w - - 2 11,b2b4,-1
2rq1rk1/1ppbbpp1/p1n1pn1p/2Np4/1P5P/2PPPN2/P3BPP1/R1BQ1RK1 b - - 0 11,g7g5,1
2rq1rk1/1ppbbp2/p1n1pn1p/2Np2p1/1P5P/2PPPN2/P3BPP1/R1BQ1RK1 w - - 0 12,h4g5,-1
2rq1rk1/1ppbbp2/p1n1pn1p/2Np2P1/1P6/2PPPN2/P3BPP1/R1BQ1RK1 b - - 0 12,h6g5,1
2rq1rk1/1ppbbp2/p1n1pn2/2Np2p1/1P6/2PPPN2/P3BPP1/R1BQ1RK1 w - - 0 13,d3d4,-1
2rq1rk1/1ppbbp2/p1n1pn2/2Np2p1/1P1P4/2P1PN2/P3BPP1/R1BQ1RK1 b - - 0 13,g5g4,1
2rq1rk1/1ppbbp2/p1n1pn2/2Np4/1P1P2p1/2P1PN2/P3BPP1/R1BQ1RK1 w - - 0 14,f3e5,-1
2rq1rk1/1ppbbp2/p1n1pn2/2NpN3/1P1P2p1/2P1P3/P3BPP1/R1BQ1RK1 b - - 1 14,c6e5,1
2rq1rk1/1ppbbp2/p3pn2/2Npn3/1P1P2p1/2P1P3/P3BPP1/R1BQ1RK1 w - - 0 15,d4e5,-1
2rq1rk1/1ppbbp2/p3pn2/2NpP3/1P4p1/2P1P3/P3BPP1/R1BQ1RK1 b - - 0 15,f6e4,1
2rq1rk1/1ppbbp2/p3p3/2NpP3/1P2n1p1/2P1P3/P3BPP1/R1BQ1RK1 w - - 1 16,d1b3,-1
2rq1rk1/1ppbbp2/p3p3/2NpP3/1P2n1p1/1QP1P3/P3BPP1/R1B2RK1 b - - 2 16,e4d2,1
2rq1rk1/1ppbbp2/p3p3/2NpP3/1P4p1/1QP1P3/P2nBPP1/R1B2RK1 w - - 3 17,c1d2,-1
2rq1rk1/1ppbbp2/p3p3/2NpP3/1P4p1/1QP1P3/P2BBPP1/R4RK1 b - - 0 17,e7f6,1
2rq1rk1/1ppb1p2/p3pb2/2NpP3/1P4p1/1QP1P3/P2BBPP1/R4RK1 w - - 1 18,a2a3,-1
2rq1rk1/1ppb1p2/p3pb2/2NpP3/1P4p1/PQP1P3/3BBPP1/R4RK1 b - - 0 18,f6e5,1
2rq1rk1/1ppb1p2/p3p3/2Npb3/1P4p1/PQP1P3/3BBPP1/R4RK1 w - - 0 19,c5e6,-1
2rq1rk1/1ppb1p2/p3N3/3pb3/1P4p1/PQP1P3/3BBPP1/R4RK1 b - - 0 19,d7e6,1
2rq1rk1/1pp2p2/p3b3/3pb3/1P4p1/PQP1P3/3BBPP1/R4RK1 w - - 0 20,e2f3,-1
2rq1rk1/1pp2p2/p3b3/3pb3/1P4p1/PQP1PB2/3B1PP1/R4RK1 b - - 1 20,g4f3,1
2rq1rk1/1pp2p2/p3b3/3pb3/1P6/PQP1Pp2/3B1PP1/R4RK1 w - - 0 21,b3d1,-1
2rq1rk1/1pp2p2/p3b3/3pb3/1P6/P1P1Pp2/3B1PP1/R2Q1RK1 b - - 1 21,e6d7,1
2rq1rk1/1ppb1p2/p7/3pb3/1P6/P1P1Pp2/3B1PP1/R2Q1RK1 w - - 2 22,d1c2,-1
2rq1rk1/1ppb1p2/p7/3pb3/1P6/P1P1Pp2/2QB1PP1/R4RK1 b - - 3 22,g8g7,1
2rq1r2/1ppb1pk1/p7/3pb3/1P6/P1P1Pp2/2QB1PP1/R4RK1 w - - 4 23,g2f3,-1
2rq1r2/1ppb1pk1/p7/3pb3/1P6/P1P1PP2/2QB1P2/R4RK1 b - - 0 23,e5f4,1
2rq1r2/1ppb1pk1/p7/3p4/1P3b2/P1P1PP2/2QB1P2/R4RK1 w - - 1 24,e3f4,-1
2rq1r2/1ppb1pk1/p7/3p4/1P3P2/P1P2P2/2QB1P2/R4RK1 b - - 0 24,d8f6,1
2r2r2/1ppb1pk1/p4q2/3p4/1P3P2/P1P2P2/2QB1P2/R4RK1 w - - 1 25,a1e1,-1
2r2r2/1ppb1pk1/p4q2/3p4/1P3P2/P1P2P2/2QB1P2/4RRK1 b - - 2 25,d7c6,1
2r2r2/1pp2pk1/p1b2q2/3p4/1P3P2/P1P2P2/2QB1P2/4RRK1 w - - 3 26,c2d3,-1
2r2r2/1pp2pk1/p1b2q2/3p4/1P3P2/P1PQ1P2/3B1P2/4RRK1 b - - 4 26,f6h4,1
2r2r2/1pp2pk1/p1b5/3p4/1P3P1q/P1PQ1P2/3B1P2/4RRK1 w - - 5 27,d3e3,-1
2r2r2/1pp2pk1/p1b5/3p4/1P3P1q/P1P1QP2/3B1P2/4RRK1 b - - 6 27,h4h3,1
2r2r2/1pp2pk1/p1b5/3p4/1P3P2/P1P1QP1q/3B1P2/4RRK1 w - - 7 28,e1c1,-1
2r2r2/1pp2pk1/p1b5/3p4/1P3P2/P1P1QP1q/3B1P2/2R2RK1 b - - 8 28,f8e8,1
2r1r3/1pp2pk1/p1b5/3p4/1P3P2/P1P1QP1q/3B1P2/2R2RK1 w - - 9 29,e3b6,-1
2r1r3/1pp2pk1/pQb5/3p4/1P3P2/P1P2P1q/3B1P2/2R2RK1 b - - 10 29,c7b6,1
2r1r3/1p3pk1/ppb5/3p4/1P3P2/P1P2P1q/3B1P2/2R2RK1 w - - 0 30,f1e1,-1
2r1r3/1p3pk1/ppb5/3p4/1P3P2/P1P2P1q/3B1P2/2R1R1K1 b - - 1 30,e8e7,1
2r5/1p2rpk1/ppb5/3p4/1P3P2/P1P2P1q/3B1P2/2R1R1K1 w - - 2 31,b4b5,-1
2r5/1p2rpk1/ppb5/1P1p4/5P2/P1P2P1q/3B1P2/2R1R1K1 b - - 0 31,a6b5,1
2r5/1p2rpk1/1pb5/1p1p4/5P2/P1P2P1q/3B1P2/2R1R1K1 w - - 0 32,e1e5,-1
2r5/1p2rpk1/1pb5/1p1pR3/5P2/P1P2P1q/3B1P2/2R3K1 b - - 1 32,f7f5,1
2r5/1p2r1k1/1pb5/1p1pRp2/5P2/P1P2P1q/3B1P2/2R3K1 w - - 0 33,e5f5,-1
2r5/1p2r1k1/1pb5/1p1p1R2/5P2/P1P2P1q/3B1P2/2R3K1 b - - 0 33,h3h2,1
2r5/1p2r1k1/1pb5/1p1p1R2/5P2/P1P2P2/3B1P1q/2R3K1 w - - 1 34,g1f1,-1
2r5/1p2r1k1/1pb5/1p1p1R2/5P2/P1P2P2/3B1P1q/2R2K2 b - - 2 34,h2h1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,-1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b2b4,-1
rnbqkbnr/pppp1ppp/8/4p3/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq - 0 2,b8c6,1
r1bqkbnr/pppp1ppp/2n5/4p3/1P2P3/8/P1PP1PPP/RNBQKBNR w KQkq - 1 3,c1b2,-1
r1bqkbnr/pppp1ppp/2n5/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq - 2 3,g8f6,1
r1bqkb1r/pppp1ppp/2n2n2/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR w KQkq - 3 4,g1f3,-1
r1bqkb1r/pppp1ppp/2n2n2/4p3/1P2P3/5N2/PBPP1PPP/RN1QKB1R b KQkq - 4 4,f8c5,1
r1bqk2r/pppp1ppp/2n2n2/2b1p3/1P2P3/5N2/PBPP1PPP/RN1QKB1R w KQkq - 5 5,b4c5,-1
